id,comment_text,severe_toxic,obscene,threat,insult,identity_hate,toxic
7f129a8c788dd2fe,thou shalt be ravished in thy buttocks it s sure to be hurtin ,0.0,0.0,0.0,0.0,0.0,1.0
4012822e20c28738,it might have too much information now  some liberal deletions may be in order ,0.0,0.0,0.0,0.0,0.0,0.0
97f54078ce82c13a,yes and no  the original concept for multics was to have commands execute as separate subsidiary processes  a la unix however  multics processes turned out to be rather expensive  computationally and so the plan was changed to make them  subroutines  called from the command interpreter the ability of multics to dynamically link to a subroutine in any  file  in the filesystem was a key thing in making this work you could compile a new command  and then try it out right away  without having to link up a new version of the command interpreter multics did always have the ability for anyone to start a subsidiary process  but it just wasn t used much  talk ,0.0,0.0,0.0,0.0,0.0,0.0
efc5dcdc9cecdd7a,appeal unblock g day everyone  first  i sort of saw this block coming but i had actually stoped editig pages un contructivly two days ago  although i did edit some pages such as kevin rudd and someother guys page  i do not understand thow i could have edited homo sex ity  please check my history  i have had to change my password in the past couple of days because of my friend had hacked my password on my home computer  i understand  this is hard to prove  but i am telling the truth but who ever is reading this  i have not made unconstuctive edits for the past days because of the final warning  may i please also add that i did not know that i could not delete content from my own page  no one had told me that i could not do this so how was i ment to know  i am willing to compromise  if you lift the indifinent block  could you block me for days then when the block expires  watch me closley  please wikipedia  i started and only ever made construtive edits  then my friedns dared me to do stupid things  then my friend hacked into my home computer  i am a very knowledgeable person  i can ad a lot to your encyclopedia  please consider this and i am more than willing to have full co operation with you folks  my only wish is to lift this indifinent block  i dont care if im still  block  for a year  just please lift this indifinite block  thank you  if you do lift this ban to a week  i will dontate to wikipedia  ,0.0,0.0,0.0,0.0,0.0,0.0
3a0364b3b5905967,yeah  getting kinda lazy in my old age  talk contribs email ,0.0,0.0,0.0,0.0,0.0,0.0
1baa879a7a827d6e,croke park is a gaa arena but since it falls into cat i propose that it be removed once the ariva stadium is complete,0.0,0.0,0.0,0.0,0.0,0.0
cd418120463e4649,redirect talk revolutionary war  disambiguation ,0.0,0.0,0.0,0.0,0.0,0.0
53caf49bbf9e3f04,telephone numbers of guest houses and hotels the article is provided with telephone numbers belonging to few guest houses and hotels located in velankanni town the article has given only the contact numebers and has not promoted any special facility that may be available in such places so  i consider the information provided is useful and not an advertisement more over  the list has a variety and not just talk about one single entity or group or organisation please discuss here before removing them  if you consider them as in appropriate ,0.0,0.0,0.0,0.0,0.0,0.0
e4e25f5615e514c6, andy  no  i didn t call them to win anything  only to stop vandalism also  i say not likely it s a force of habit what i mean by not likely is it won t happen again talk ,0.0,0.0,0.0,0.0,0.0,0.0
c96f9f729f2d31f6,king of fag so you like doing little boys too ass hole  ,1.0,1.0,0.0,1.0,0.0,1.0
208bdc5e936e27c2,m page  hey pedro  i have done some adding of more sources and what have you on the m page you removed i was wondering if you could stop by http en wikipedia org wiki user bjdehut sandbox and let me know if this is beginning to look more notable ,0.0,0.0,0.0,0.0,0.0,0.0
f624665d473f816d,alpha epsilon zeta  here is a suggestion  why not write up a draft of your article at talk ,0.0,0.0,0.0,0.0,0.0,0.0
0884b57e732a9907, first  if you create obviously bogus claims  nobody needs to waste his time refuting the claim as applied to each excerpt you cut and paste one refutation is more than sufficient second  your rationales appear to be shifting originally you claimed that the article contained creative facts and pov statements now you claim that a particular statement is unverifiable be very specific about what you find problematic citing the specific wikipedia policy  given your contentious history with this article  dating back over a year  it is evident that your goal is to portray the exile as an uncredible source i believe you will reject any claims that undermine this premise  regardless of their consistency with wikipedia policy consequently  if you want to be taken seriously  you need act cooperatively to resolve issues this means being specific in your complaints  citing the exact policy this means no specious claims and this means accepting the article as undisputed if you don t have any specific issues can you abide by these conditions ,0.0,0.0,0.0,0.0,0.0,0.0
828d024ad6d73298,expanded a bit  will see if i can find out a bit more ,0.0,0.0,0.0,0.0,0.0,0.0
27eef19f64ef129f,you dirty hoe  open wide bitch ,0.0,1.0,0.0,1.0,0.0,1.0
35de9588b05e5d63,i have reverted your changes to clan haldane as a copyright violation from http genforum genealogy com haldane messages html please see wikipedia copyright faq can i add something to wikipedia that i got from somewhere else  for more details on what you can do with external content do not just paste in text you found elsewhere ,0.0,0.0,0.0,0.0,0.0,0.0
add0d5af40adc257,january please stop your disruptive editing  if you continue to vandalize wikipedia you will be  block  from editing ,0.0,0.0,0.0,0.0,0.0,0.0
39906d5cf469527b,hi what happened to your previous account ,0.0,0.0,0.0,0.0,0.0,0.0
2a5ba48072755b23,  only if you can find citation that says so  otherwise it s unverifiable speculation  after all  just because everyone in the country whose surname isn t beckham rightly  thinks stevie g should be captain  it doesn t mean he s necessarily in with a shout ,0.0,0.0,0.0,0.0,0.0,0.0
9a71d0dc8e86b20f,  fuck you  french faggot go play soccer and leave the internet to america  which invented this  shit  ,0.0,1.0,0.0,1.0,1.0,1.0
27dea057b7859f95, ran deep what does the phrase ran deep mean within the meaning of the article ,0.0,0.0,0.0,0.0,0.0,0.0
4f7e947a886ed681,  in my opinion  the section is okay  bin laden s death is certainly going to have major effects on countries groups involved  namely us  pakistan and al qaeda  yes  us and pakistan aren t the only countries in the world  but they are no doubt the major players in this event  so  having sections that focus particularly on these countries is completely appropriate  however  should we add such a section right now  no  we shouldn t when we don t even know for sure what those effects are  c t  ,0.0,0.0,0.0,0.0,0.0,0.0
3892c06a42209d43, an archive usually gives a better chance at restart than a restart does  but nominators are still upset when i archive talk ,0.0,0.0,0.0,0.0,0.0,0.0
bfad5fa36d39f53a,whats good for goose is good for the gander  goethean follows me ,0.0,0.0,0.0,0.0,0.0,0.0
433c703de2fa7516, hello hi  pa yes  i m back  thanks for the warm welcome  man  you guys have been busy  and there is peace on the rani article  i was so surprised  everything is going really smoothly  isn t it  it s good to be here again  best regards talk me  ,0.0,0.0,0.0,0.0,0.0,0.0
